Wache;Zone;Groupement;Hausnummer;Strasse;PLZ;Ort;WGS84_Lat;WGS84_Lon;LUREF_E;LUREF_N
CIS Alebësch-Eschsauer;NORD;2_Stauséi;3;Am ale Bësch;9158;Heiderscheid;49,8849640;5,9590564;64974,6250000;105644,8515625
CIS Aspelt;SUD;3_Ginzebierg;8;Groussgaass;5721;Aspelt;49,5248489;6,2256198;84162,9375000;65572,3359375
CIS Beaufort;EST;1_Sauer;61;Route de Dillingen;6315;Beaufort;49,8375282;6,2935290;89021,1250000;100355,4296875
CIS Beckerich;NORD;4_Attert;2;Jos Seyler Strooss;8522;Beckerich;49,7251015;5,8993998;60623,8085938;87877,4531250
CIS Berdorf;EST;1_Sauer;1;Bäim Maartbesch;6552;Berdorf;49,8252106;6,3448701;92717,7109375;98992,9531250
CIS Bertrange-Strassen;CENTRE;2_Réibierg;98;Rue du Cimetière;8018;Strassen;49,6156998;6,0707002;72959,6250000;75679,6484375
CIS Bettembourg;SUD;3_Ginzebierg;2-4;Rue James-Hilliard Polk ;3275;Bettembourg;49,5168915;6,0988002;74980,3203125;64687,6289062
CIS Bettendorf;NORD;3_Nordstad;7;Rue de la Gare;9353;Bettendorf;49,8723602;6,2202802;83749,0156250;104223,5078125
CIS Bissen;CENTRE;1_Uelzechtdall;10A;Route de Colmar;7766;Bissen;49,7894592;6,0654998;72610,0078125;95006,4375000
CIS Biwer;EST;3_Musel;22;Schoulstrooss;6834;Biwer;49,7005882;6,3788400;95201,1250000;85138,4140625
CIS Boevange-sur-Attert;CENTRE;1_Uelzechtdall;77;Rue de Helpert;8710;Boevange-sur-Attert;49,7722092;6,0211501;69412,6875000;93093,0703125
CIS Boulaide;NORD;2_Stauséi;39;Rue Flebour;9633;Boulaide;49,9007492;5,8104200;54300,9296875;107440,9609375
CIS Bourscheid;NORD;3_Nordstad;15;Groussgaass;9140;Bourscheid;49,9086990;6,0613098;72327,0312500;108269,5546875
CIS Canach;EST;4_Dräi-Länner-Eck;18;Rue de l'Ecole;5414;Canach;49,6102219;6,3237901;91250,7265625;75077,4531250
CIS Clervaux;NORD;1_Our;20;Route d'Eselborn;9706;Clervaux;50,0616531;6,0184131;69279,5000000;125287,6953125
