NAME;ZUSATZ;ORT;GEOGRAPHISCHE BREITE;GEOGRAPHISCHE LAENGE
BB-001;;Bettembourg;49.51125;6.08482
BB-002;;Bettembourg;49.51227;6.0783
BB-003;;Abweiler;49.54979;6.06963
BB-004;;Abweiler;49.54683;6.07386
BB-005;;Abweiler;49.546;6.06109
BB-006;;Abweiler;49.54552;6.06751
BB-007;;Abweiler;49.54253;6.07361
BB-008;;Abweiler;49.54044;6.06965
BB-009;;Abweiler;49.53575;6.06796
BB-010;;Abweiler;49.54342;6.08059
BB-011;;Abweiler;49.53892;6.08119
BB-012;;Abweiler;49.54358;6.08197
BB-013;;Abweiler;49.54819;6.08148
BB-014;;Abweiler;49.54795;6.08592
BB-015;;Abweiler;49.54595;6.09079
BB-016;;Bettembourg;49.53963;6.09678
BB-017;;Bettembourg;49.5369;6.09547
BB-018;;Abweiler;49.54125;6.0844
BB-019;;Bettembourg;49.5146;6.11713
BB-020;;Bettembourg;49.51707;6.11894
BB-021;;Bettembourg;49.51003;6.12407
BC-001;HIRZBUSCH;Luxembourg Land;49.7605;6.3759
BC-002;LEKEBERGERBUSCH;Luxembourg Land;49.7599;6.3724
BC-003;LEKEBERGERBUSCH;Bech;49.7581;6.3632
BC-004;LEKEBERGERBUSCH;Consdorf (G);49.7633;6.3638
BC-005;WOLPERHOF;Consdorf (G);49.7625;6.3534
BC-006;BECHER GARE;Luxembourg Land;49.7572;6.3506
BC-007;RIPPIGER MARSCHERWALD;Graulinster (Bech);49.7437;6.282
BC-008;BECHER GARE;Bech;49.7532;6.3545
BC-009;AUF DER KUHEID;Luxembourg Land;49.7614;6.3329
BC-010;IM MELECKSFELD;Rippig;49.7432;6.314
BC-011;MUEHLENBACH;Hersberg;49.7622;6.3223
BC-012;AUF DEM HEUWEG;Bech (G);49.7522;6.3453
BC-013;ZITTIGER MARSCHERWALD;Luxembourg Land;49.7483;6.2971
BC-014;IN DER ACHT;Zittig;49.7479;6.3429
BC-015;HEMSTALER MARSCHERWALD;Luxembourg Land;49.7453;6.3005
BC-016;MASBERICH;Bech (G);49.7515;6.3357
BC-017;MECHELSGRUND;Hersberg;49.7577;6.325
BC-018;AUF DER WEISLAECHEN;Luxembourg Land;49.7593;6.3164
BC-019;IM BERG;Bech (G);49.7476;6.3274
BI-001;Biischtert;Bissen;49.8213;6.0351
BI-002;Felzerdriesch;Bissen;49.8231;6.0431
BI-003;Biischtert;Bissen;49.8183;6.0387
BI-004;Biischtert;Bissen;49.8166;6.0461
BI-005;Biischtert;Bissen;49.809;6.0305
BI-006;Schielheck;Bissen;49.8011;6.0299
BI-007;H renhecken;Bissen;49.8075;6.0329
BI-008;H renhecken;Bissen;49.8105;6.041
BI-009;H renhecken;Bissen;49.8074;6.0431
BI-010;Helmesch Haff;Bissen;49.8077;6.052
BI-011;H renhecken;Bissen;49.8067;6.0615
BI-012;Steen cker;Bissen;49.8047;6.05
BI-013;Steen cker;Bissen;49.8039;6.0566
BI-014;Steen cker;Bissen;49.8042;6.0438
BI-015;Bonnert;Bissen;49.801;6.0468
BI-016;Bonnert;Bissen;49.8012;6.0389
BI-017;Fleercher Seitert;Bissen;49.7991;6.0296
BI-018;Geichb sch;Bissen;49.7978;6.0201
BI-019;Geichb sch;Bissen;49.794;6.0204
BI-020;H renhecken;Bissen;49.7909;6.0147
BI-021;Laaschtert;Bissen;49.7753;6.0601
BI-022;H renhecken;Bissen;49.7871;6.0208
BI-023;H renhecken;Bissen;49.7901;6.0228
BI-024;Laaschtert;Bissen;49.7758;6.0655
BI-025;Fleercher Seitert;Bissen;49.7943;6.0334
BI-026;Fleercher Seitert;Bissen;49.7987;6.0376
BI-027;Bonnert;Bissen;49.798;6.0422
BI-028;hanner Laaschtert;Bissen;49.7727;6.0683
BI-029;Bonnert;Bissen;49.7976;6.0527
BI-030;Bonnert;Bissen;49.7963;6.0499
BI-031;op P izen cker;Bissen;49.7905;6.0411
BI-032;H renhecken;Bissen;49.7867;6.0334
BI-033;am Kallekhaff;Bissen;49.784;6.0332
BI-034;H renhecken;Bissen;49.7832;6.0299
BI-035;H renhecken;Bissen;49.7819;6.026
BI-036;hanner Laaschtert;Bissen;49.7728;6.075
BI-037;am Viichterwee;Bissen;49.7929;6.0529
BI-038;Millen cker;Bissen;49.7965;6.0615
BI-039;Bierkebierg;Bissen;49.7944;6.0697
BI-040;an Ierwent;Bissen;49.7956;6.0766
BI-041;G iwels;Bissen;49.7921;6.0726
BI-042;a Pafent;Bissen;49.791;6.0759
BI-043;ZAC Klengbousbierg;Bissen;49.7898;6.0811
BI-044;ZAC Klengbousbierg;Bissen;49.7885;6.0834
BI-045;Rue des Sports;Bissen;49.7874;6.0859
BI-046;op dem Rouscht;Bissen;49.7802;6.079
BI-047;bei Laaschtert;Bissen;49.7804;6.0703
BI-048;op Hazen cker;Bissen;49.7816;6.061
BI-049;op Peschent;Bissen;49.781;6.0494
BI-050;Woment;Bissen;49.7814;6.0427
BI-051;bei der Tonnbaach;Bissen;49.777;6.0434
BI-052;bei der Tonnbaach;Bissen;49.7748;6.0393
BI-053;Helligewis;Bissen;49.7717;6.0429
BI-054;Gonneschw nkel;Bissen;49.7702;6.0544
BK-001;Im Daerent;Luxembourg Land;49.74855;5.85503
BK-002;Stefeschbusch;Luxembourg Land;49.74904;5.86273
BK-003;Stefeschbusch;Luxembourg Land;49.74727;5.86015
BK-004;Stefeschbusch;Luxembourg Land;49.74677;5.86984
BK-005;Kolbicherloch;Luxembourg Land;49.74586;5.84465
BK-006;Rehtgenbusch;Luxembourg Land;49.74355;5.83619
BK-007;Unter Heidbirchen;Luxembourg Land;49.74088;5.83218
BK-008;In Durgen;Luxembourg Land;49.74089;5.84222
BK-009;Bei Durgewies;Luxembourg Land;49.74207;5.84724
BK-010;Hinter der Steinkaul;Luxembourg Land;49.73689;5.83121
BK-011;Im Dickenbusch;Oberpallen;49.7286;5.82886
BK-012;Noerdingerbusch;Noerdange;49.75007;5.9269
BK-013;Noerdingerbusch;Noerdange;49.74992;5.93143
BK-014;Riedchen;Luxembourg Land;49.74607;5.93843
BK-015;Auf Groizelt;Beckerich (G);49.73118;5.86724
BK-016;In der Graecht;Beckerich (G);49.73018;5.87442
BK-017;Im Momel;Beckerich;49.72841;5.86813
BK-018;Auf der Gleicht;Beckerich;49.72757;5.88147
BK-019;Kohlenberg;Beckerich;49.72669;5.88715
BK-020;Auf Reichenacker;Beckerich;49.72179;5.87534
BK-021;Im Muelleschbour;Beckerich;49.72115;5.88585
BK-022;Heischel;Beckerich;49.72049;5.8908
BK-023;Heischel;Beckerich;49.7176;5.88693
BK-024;Heischel;Beckerich;49.71704;5.89457
BK-025;Kaasselberg;Hovelange;49.71525;5.89941
BK-026;Im Loch;Hovelange;49.71669;5.90553
BK-027;Hart;Hovelange;49.71779;5.91034
BK-028;Vischtenbusch;Schweich;49.71668;5.92584
BK-029;Nondelich;Leitrange;49.71325;5.88713
BK-030;Hart;Luxembourg Land;49.7135;5.90991
BK-031;Wiederstaellchen;Luxembourg Land;49.71252;5.91424
BK-032;In der Kiel;Schweich;49.71237;5.92204
BK-033;Nondelich;Hovelange;49.71138;5.89273
BK-034;Auf dem Ehlzknapp;Schweich;49.70815;5.92269
BK-035;Auf dem Hohberg;Kreuzerbuch;49.70612;5.9147
BL-001;Bichewald;Boulaide;49.89717;5.74205
BL-002;Felleschwald;Boulaide;49.9046;5.7467
BL-003;Schaulsmillen;Boulaide;49.91;5.76613
BL-004;Dielech;Boulaide;49.90854;5.77848
BL-005;Aschterb sch;Boulaide;49.91505;5.78407
BL-006;;Boulaide;49.91175;5.79288
BL-007;Kossels;Boulaide;49.91229;5.82381
BL-008;Alkiirch;Boulaide;49.91011;5.82865
BL-009;Laangescht;Boulaide;49.90687;5.8328
BL-010;Laangescht;Boulaide;49.90529;5.83415
BL-011;Kaaschterlach;Boulaide;49.9078;5.84959
BL-012;B rel;Boulaide;49.90149;5.85516
BL-013;Teupeltskamps;Boulaide;49.90258;5.84391
BL-014;Rommwiss;Boulaide;49.89606;5.84862
BL-015;Bichel;Boulaide;49.89668;5.83633
BL-016;Esbicht;Boulaide;49.89382;5.84037
BL-017;Gr ideb sch;Boulaide;49.89224;5.83192
BL-018;D rend;Boulaide;49.88663;5.84432
BL-019;Duelen;Boulaide;49.88042;5.82572
BL-020;Buckels;Boulaide;49.87626;5.83718
BL-021;Milbech;Boulaide;49.8722;5.83638
BL-022;;Boulaide;49.86834;5.82716
BL-023;Houf ls;Boulaide;49.87183;5.80797
BL-024;Bauscheltermillen;Boulaide;49.88086;5.79511
BL-025;In der Haemicht;Boulaide;49.88526;5.79879
BL-026;Farent;Boulaide;49.8946;5.80141
BL-027;Miltchen;Boulaide;49.89269;5.7808
BL-028;W leschbur;Boulaide;49.90899;5.84324
BL-029;Baastn cherb sch;Boulaide;49.9076;5.75619
BL-030;Holsber;Boulaide;49.88746;5.83379
BL-031;Wuremt;Boulaide;49.87123;5.81644
BL-032;Gaesbech;Boulaide;49.8758;5.78384
BL-033;Om Saedeltgen;Boulaide;49.88712;5.77478
BL-034;Im hohlen Weg;Boulaide;49.88958;5.75755
BL-035;Im Bichewald;Boulaide;49.90275;5.7434
BT-001;Houscht;Bertrange;49.60968;6.02405
BT-002;Heed;Bertrange;49.60741;6.0144
BT-003;Juegdbuud;Bertrange;49.59144;6.01703
BT-004;Gielebierg;Bertrange;49.58447;6.01857
BT-005;Enneschte Besch;Bertrange;49.58863;6.03562
BT-006;Enneschte Besch;Grevelsbarriere (Bertrange);49.59135;6.04485
BT-007;Enneschte Besch;Bertrange;49.58658;6.041
BT-008;Beim Vullenhaischen;Grevels (Ferme de) (Bertrange);49.58886;6.05004
BT-009;Parking Fit am Enneschte Besch;Bertrange;49.59171;6.05838
BT-010;Leudelange-Gare;Bertrange;49.58867;6.05969
BT-011;Enneschte Besch;Bertrange;49.59246;6.07113
BT-012;Enneschte Besch;Bertrange;49.59955;6.07396
BW-001;Hoombierg;Biwer;49.7189;6.3642
BW-002;Stengegewee;Biwer;49.7162;6.3714
BW-003;Berbourgerbesch;Luxembourg Land;49.7249;6.3898
BW-004;Seifen / hennescht Breinert;Breinert;49.7093;6.3307
