#REF!,2LVERU JUNIOR,,Granules en gélules à ouvrir,HOMEO
1,[18F]FDG-FR 300 à 3100 MBq/m,,Solution injectable,fludeoxyglucose (18F) 
1,AACIDEXAM,5 mg / 1 mL,Solution injectable,dexamethasone
#REF!,AACIDEXAM,5 mg / 1 mL,Solution injectable,dexamethasone
#REF!,AACIDEXAM,5 mg / 1 mL,Solution injectable,dexamethasone
1,AACIFEMINE,2 mg,Comprimé,estriol
#REF!,AACIFEMINE,1 mg / 1 g,Crème,estriol
#REF!,AACIFEMINE,"0,5 mg / 1 g",Ovule,estriol
#REF!,AACIFEMINE,2 mg,Comprimé,estriol
1,Abacavir/Lamivudine Viatris,600 mg / 300 mg,Comprimé pelliculé,lamivudine and abacavir
#REF!,Abacavir/Lamivudine Viatris,600 mg / 300 mg,Comprimé pelliculé,lamivudine and abacavir
#REF!,Abacavir/Lamivudine Viatris,600 mg / 300 mg,Comprimé pelliculé,lamivudine and abacavir
#REF!,Abacavir/Lamivudine Viatris,600 mg / 300 mg,Comprimé pelliculé,lamivudine and abacavir
#REF!,Abacavir/Lamivudine Viatris,600 mg / 300 mg,Comprimé pelliculé,lamivudine and abacavir
1,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
#REF!,Abasaglar,100 UI / 1 mL,Solution injectable,insulin glargine
1,Abecma 260 - 500 x 10^6 cellules,,Dispersion pour perfusion,idecabtagene vicleucel
1,Abelcet Lipid Complex,5 mg / 1 mL,Solution à diluer pour perfusion d¿une émulsion,amphotericin B
#REF!,Abelcet Lipid Complex,5 mg / 1 mL,Solution à diluer pour perfusion d¿une émulsion,amphotericin B
1,Abevmy,25 mg / 1 mL,Dispersion à diluer pour perfusion,bevacizumab
#REF!,Abevmy,25 mg / 1 mL,Dispersion à diluer pour perfusion,bevacizumab
#REF!,Abevmy,25 mg / 1 mL,Dispersion à diluer pour perfusion,bevacizumab
#REF!,Abevmy,25 mg / 1 mL,Dispersion à diluer pour perfusion,bevacizumab
#REF!,Abevmy,25 mg / 1 mL,Dispersion à diluer pour perfusion,bevacizumab
1,ABILIFY,30 mg,Comprimé,aripiprazole
#REF!,ABILIFY,30 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé,aripiprazole
#REF!,ABILIFY,30 mg,Comprimé,aripiprazole
#REF!,ABILIFY,30 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,30 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,30 mg,Comprimé,aripiprazole
#REF!,ABILIFY,15 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,10 mg,Comprimé,aripiprazole
#REF!,ABILIFY,10 mg,Comprimé,aripiprazole
#REF!,ABILIFY,10 mg,Comprimé,aripiprazole
#REF!,ABILIFY,1 mg / 1 mL,Solution buvable,aripiprazole
#REF!,ABILIFY,15 mg,Comprimé,aripiprazole
#REF!,ABILIFY,1 mg / 1 mL,Solution buvable,aripiprazole
#REF!,ABILIFY,1 mg / 1 mL,Solution buvable,aripiprazole
#REF!,ABILIFY,15 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,30 mg,Comprimé,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé,aripiprazole
#REF!,ABILIFY,"7,5 mg / 1 mL",Solution injectable,aripiprazole
#REF!,ABILIFY,10 mg,Comprimé,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,15 mg,Comprimé,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé,aripiprazole
#REF!,ABILIFY,5 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,15 mg,Comprimé,aripiprazole
#REF!,ABILIFY,15 mg,Comprimé,aripiprazole
#REF!,ABILIFY,10 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,15 mg,Comprimé,aripiprazole
#REF!,ABILIFY,10 mg,Comprimé orodispersible,aripiprazole
#REF!,ABILIFY,30 mg,Comprimé,aripiprazole
#REF!,ABILIFY,10 mg,Comprimé,aripiprazole
1,ABILIFY MAINTENA,400 mg,Poudre et solvant pour suspension injectable à libération prolongée,aripiprazole
#REF!,ABILIFY MAINTENA,300 mg,Poudre et solvant pour suspension injectable à libération prolongée,aripiprazole
#REF!,ABILIFY MAINTENA,300 mg,Poudre et solvant pour suspension injectable à libération prolongée,aripiprazole
#REF!,ABILIFY MAINTENA,400 mg,Poudre et solvant pour suspension injectable à libération prolongée,aripiprazole
1,Abirateron EG,500 mg,Comprimé pelliculé,abiraterone
