Code_CIS	Pathologie
60002504	Reflux gastro-oesophagien
60002504	Ulcère duodénal
60002504	Ulcère gastrique
60003620	Asthme
60004277	Hypercholestérolémie
60004277	Hyperlipidémie
60005856	Ulcère duodénal
60005856	Ulcère gastrique
60007437	Hypercholestérolémie
60007437	Hyperlipidémie
60008724	Adénome bénin de la prostate
60008724	Hypertrophie bénigne de la prostate
60010885	BPCO
60010885	Bronchopneumopathie chronique obstructive
60010885	Cystite
60010885	Prostatite
60010885	Sinusite
60010967	Vaginite
60016308	Insuffisance cardiaque
60018088	Anxiété
60018088	Epilepsie
60018896	Hypertension artérielle
60018896	Infarctus du myocarde
60019101	Conjonctivite allergique
60019329	Insomnie
60019927	Schizophrénie
60021127	Hypertension artérielle
60021312	Psoriasis
60021771	Varices
60021928	Adénome bénin de la prostate
60021928	Hypertrophie bénigne de la prostate
60022275	Angine de poitrine
60022275	Angor
60023270	Glaucome
60025054	Hypertension artérielle
60025314	Constipation
60025403	Dysménorrhée
60025403	Règles douloureuses
60026957	Diabète
60028050	Epilepsie
60029394	Impuissance masculine
60030699	Embolie pulmonaire
60030699	Phlébite
60030699	Thrombose veineuse
60030980	Constipation
60031071	Schizophrénie
60031527	Reflux gastro-oesophagien
60031527	Ulcère gastro-duodénal
60035714	Polyarthrite juvénile
60035714	Polyarthrite rhumatoïde
60035714	Rectocolite hémorragique
60037380	Hypertension artérielle
60038468	Epilepsie
60040145	Dermatite de contact
60040145	Eczéma de contact
60043077	Epilepsie
60044784	Epilepsie
60045217	Insuffisance cardiaque
60047271	Glaucome
60048672	Vertiges de Ménière
60049895	Hypertension artérielle
60049895	Infarctus du myocarde
60049895	Insuffisance cardiaque
60051234	Adénome bénin de la prostate
60051234	Hypertrophie bénigne de la prostate
60051316	Epilepsie
60053064	Migraine
60053694	Hypertension artérielle
60053694	Infarctus du myocarde
60056815	Hémorroïdes
60058008	Hypertension artérielle
60058378	Hypertension artérielle
60058517	Epilepsie
60061171	Acné
60061171	Syphilis
60061602	Anxiété
60061602	Epilepsie
60061709	Hyperlipidémie
60064527	Hémorroïdes
60065198	Angine de poitrine
60065198	Angor
60065198	Hypertension artérielle
60065294	Reflux gastro-oesophagien
60067562	Conjonctivite allergique
60067562	Rhinite allergique
60068002	Anxiété
60068002	Dépression
60068034	Dépression
60068251	Hypertension artérielle
60068333	Hypertension artérielle
60069339	Asthme
60070359	Vaginite
60071190	Athérosclérose cardio-vasculaire
60071190	Hypercholestérolémie
60071190	Hyperlipidémie
60071379	Ostéoporose
60071952	Ulcère duodénal
60071952	Ulcère gastrique
60071952	Ulcère gastro-duodénal
60073608	Rhinite allergique
60073608	Urticaire
60073914	Dysménorrhée
60073914	Migraine
60073914	Règles douloureuses
60074432	Adénome bénin de la prostate
60074432	Hypertrophie bénigne de la prostate
60074934	Tuberculose
60075192	Anxiété
60075192	Dépression
60075452	Anxiété
60075452	Epilepsie
60077574	Insuffisance cardiaque
60078765	Dépression
60078765	Schizophrénie
60079721	Adénome bénin de la prostate
60079721	Hypertrophie bénigne de la prostate
60080218	Maladie de Crohn
60080218	Rectocolite hémorragique
60080232	Anémie par carence en fer
60083132	Schizophrénie
60085553	Hypertension artérielle
60085578	Cystite
60085610	Anxiété
60085610	Dépression
60091086	Dysménorrhée
60091086	Règles douloureuses
60092590	Maladie de Parkinson
60093639	Maladie de Parkinson
60094125	Hypertension artérielle
60094125	Infarctus du myocarde
60094125	Insuffisance cardiaque
60095095	Diarrhée
60095526	Hypertension artérielle
60095526	Insuffisance cardiaque
60097203	Hypercholestérolémie
60097203	Hyperlipidémie
60099738	BPCO
60099738	Bronchopneumopathie chronique obstructive
60099738	Cystite
60099738	Sinusite
60100877	Glaucome
60105162	Epilepsie
60106862	Hypertension artérielle
60108678	Onychomycose
60108870	Hypertension artérielle
60108870	Infarctus du myocarde
60108870	Insuffisance cardiaque
60109100	Angine de poitrine
60109100	Angor
60109100	Hypertension artérielle
60109303	Impétigo
60111197	Zona ophtalmique
60111471	Diarrhée
60111813	Hypertension artérielle
60111813	Insuffisance cardiaque
60113814	Hypercholestérolémie
60113814	Hyperlipidémie
60116447	Diabète
60116810	Hypertension artérielle
60118715	Angiome
60118715	BPCO
60118715	Bronchopneumopathie chronique obstructive
60118715	Laryngite aiguë
60118715	Lupus
60118715	Maladie de Crohn
60118715	Nausées et vomissements
60118715	Polyarthrite rhumatoïde
60118715	Rhinite allergique
60118715	Sinusite
60118715	Tuberculose
60118715	Urticaire
60118715	Uvéite
60120709	Goutte
60120709	Hyperuricémie
60122628	Hypertension artérielle
60122628	Insuffisance cardiaque
60123363	Adénome bénin de la prostate
60123363	Hypertrophie bénigne de la prostate
60124020	Infarctus du myocarde
60124472	Angine de poitrine
60124472	Angor
60124472	Hypertension artérielle
60125777	Anxiété
60125777	Dépression
60125777	Schizophrénie
60126377	Herpès génital
60126594	Schizophrénie
60126982	Enurésie
60128339	Enurésie
60129665	Dysménorrhée
60129665	Polyarthrite rhumatoïde
60129665	Règles douloureuses
60129957	Maladie de Crohn
60129957	Polyarthrite juvénile
60129957	Polyarthrite rhumatoïde
60129957	Psoriasis
60130062	Asthme
60130062	BPCO
60130062	Bronchopneumopathie chronique obstructive
60130386	Dermatite de contact
60130386	Eczéma de contact
60130906	Hypertension artérielle
60130906	Insuffisance cardiaque
60131132	Diabète
60132330	Epilepsie
60132572	Constipation
60133973	Adénome bénin de la prostate
60133973	Hypertrophie bénigne de la prostate
60135981	Glaucome
60136439	Schizophrénie
60139257	Diarrhée
60139563	Anxiété
60139563	Dépression
60140010	Aspergillose
60140882	Schizophrénie
60141614	Hyperuricémie
60142043	Hypertension artérielle
60144464	Maladie de Parkinson
60145580	Athérosclérose cardio-vasculaire
60145580	Hypercholestérolémie
60145580	Hyperlipidémie
60145801	Reflux gastro-oesophagien
60145801	Ulcère gastro-duodénal
60149276	Hypotension artérielle
60150830	Diabète
60151544	Cystite
60151544	Maladie de Lyme
60151544	Otite moyenne aiguë
60151544	Sinusite
60151697	BPCO
60151697	Bronchopneumopathie chronique obstructive
60151697	Cystite
60151697	Prostatite
60151697	Sinusite
60152436	Hépatite A
60152607	Laryngite aiguë
60152607	Sinusite
60152607	Uvéite
60154017	Diabète
