Number,question,answer0,answer1,answer2,corr_answer,level
1,Was wird in mmHG ausgedrückt?,Herzfrequenz,Blutdruck,Sauerstoffgehalt im Blut,1,1
2,Was ist ein Ileus?,Ein Herzinfarkt,Ein Darminfarkt,Ein Darmverschluss,2,2
3,Ein anderer Name für den zwölffingerdarm ist?,Duodem,Jejunum,Ileum,0,2
4,"Die Colon ascendes, transversum an descendens sind ein Teil von?",Der Wirbelsäule,Dem Dickdarm,Dem Becken,1,2
5,Was wird auch noch als Defäkation bezeichnet?,Die Gallenblase entfernen,Aufs Klo gehen,Sterben,1,2
6,Wieviele Liter Verdauungssaft stellt der Pankreas pro Tag her?,"1,5-2l","4-6,5","0,5-1",0,2
7,Welches Hormon senkt den Blutzuckerspiegel?,Insulin,Glukagon,Kolesterol,0,2
8,Welches Organ produziert die Gallenflüssigkeit?,Gallenblase,Leber,Bauchspeicheldrüse,1,2
9,Welche Vene führt die Nährstoffe vom Darm zur Leber?,Pfortader,Vena cava inferior,Vena Femoralis,0,2
10,Was gelangt während der Osmose durch die Semipermeable Wand?,Wasser,Aufgelöste Moleküle,Nichts,0,2
11,Wie heißt das Schienbein noch?,Tibia,Fibula,Patella,1,2
12,Wie heißt die Kniescheibe noch?,Tibia,Fibula,Patella,2,2
13,Wie heißt das Schienbein noch?,Tibia,Fibula,Patella,0,2
14,Wo werden Erythrozyten produziert?,Rotes Knochenmark,Leber,Niere,0,2
15,Was ist der Normwert der Sauerstofsättigung im Blut?,90%-92%,92-98%,100%,1,1
16,Was ist der Normwert der Atemfrequenz bei einem Säugling?,40-50/min,10-20/min,20-30/min,0,2
17,Was ist der Normwert der Atemfrequenz bei einem Kind?,40-50/min,10-20/min,20-30/min,2,2
18,Was ist der Normwert der Atemfrequenz bei einem Erwachsenen?,14-16/min,10-20/min,20-30/min,0,1
19,Was wird oft als ZNS abgekürzt?,Zentrales Nerven System,Zentrale für nervende Patienten,Zielklinik für neurologische Schusswunden,0,1
20,Wie viele Halswirbeln hat ein Mensch?,7,8,9,0,2
21,Wie viele Brustwirbeln hat ein Mensch?,11,12,13,1,2
22,Wie vile Lendenwirbel hat ein Mensch?,5,6,7,0,2
23,Welche Schicht versorgt das Gehirn?,Dura mater,Pia mater,Arachnoidea,1,2
24,Was ist keie Funktion der Knochen?,Schutz,Kalziumspeicher,Energiespeicher,1,1
25,Was verursacht der Parasympatikus nicht?,Verlangsamung des Herzschlages,Anregung der Verdaung,Vasokonstruktion,2,1
26,Was verursacht der Sympatikus nicht?,Vasokonstruktion,Dilatation der Pupillen,Verengung der Bronchien,2,1
27,Was kann man nicht benutzen um die Atemwege zu sichern?,Esmarch Griff,Güdeltubus,Absaugschlauch,2,1
28,Was lästt einen Zyanose vermuten?,Leberinsuffizienz,Sauerstoffmangel,Shädel hirn Trauma,1,1
29,Bei welcher Erkrankung spricht man von deen ________-Trias,Asthma,SHT,Angina Pectoris,0,1
30,Auf was lässt ein brodelndes Geräusch in der Lunge vermuten?,Lungenödem,Lungenembolie,Herzinfarkt,0,1
31,Wie nennt man eine infektiöse Erkrankung der Lunge?,Pneumotorax,Pneumonie,Anemie,1,1
